Breed,height,weight,cluster
Affenpinscher,10.5,10,5
Afghan Hound,26,55,2
Airdale Terrier,23,45,3
Akita,27,100,1
American Eskimo,14,27.5,4
American Foxhound,23.5,67.5,2
American Staffordshire Terrier,18,45,3
American Water Spaniel,16.5,35,3
Anatolian Sheepdog,28,125,1
Australian Cattle Dog,18.5,40,3
Australian Shepherd,20.5,50,3
Australian Terrier,10,12,4
Basenji,17,21,4
Basset Hound,14,45,3
Beagle,14.5,24,4
Bearded Collie,21,50,3
Beauceron,25.5,110,2
Bedlington Terrier,15.5,20.5,4
Belgian Malinois,24,62.5,2
Belgian Sheepdog,24,67.5,2
Belgian Tervuren,24,67.5,2
Bernese Mountain Dog,25,97.5,1
Bichon Frise,10.5,14,4
Black And Tan Coonhound,25,62.5,2
Black Russian Terrier,27,110,2
Bloodhound,25,100,1
Border Collie,20,40,3
Border Terrier,13.5,13.5,4
Borzoi,27,85,1
Boston Terrier,14.5,20,4
Bouvier Des Flandres,25,85,2
Boxer,23,67.5,2
Briard,25,75,2
Brittany,19,35,3
Brussels Griffon,7.5,9,4
Bull Dog,14,55,3
Bull Terrier,21.5,60,3
Bullmastiff,26,115,1
Cairn Terrier,9.5,14,4
Canaan Dog,21.5,45,3
Cardigan Welsh Corgi,11,30,4
Cavalier King Charles Spaniel,12.5,17.5,4
Chesapeake Bay Retriever,23.5,65,2
Chihuahua,7.5,3.5,5
Chinese Crested,12,8.5,5
Chinese Shar Pei,19,50,3
Chow Chow,20.5,50,3
Clumber Spaniel,19.5,50,2
Cocker Spaniel-American,15.5,25,3
Cocker Spaniel-English,16,30,3
Collie (Rough) & (Smooth),24,62.5,2
Curly Coated Retriever,26,72.5,2
Dachshund,8.5,24,4
Dalmatian,21,57.5,3
Dandie Dinmont Terrier,21,9.5,4
Doberman Pinscher,27,80,2
English Foxhound,23.5,67.5,2
English Setter,25,62.5,2
English Springer Spaniel,20,50,3
English Toy Spaniel,10,12,4
Field Spaniel,18,42.5,3
Finnish Spitz,17.5,33,3
Flat Coated Retriever,22.5,65,3
Fox Terrier Smooth,14.5,17.5,4
Fox Terrier Wirehair,14.5,17.5,4
French Bulldog,11.5,22.5,4
German Pinscher,17.5,30,4
German Shepherd Dog,24,82.5,2
German Shorthaired Pointer,23.5,65,2
German Wirehaired Pointer,24,65,2
Giant Schnauzer,26.5,72.5,2
Glen Imaal Terrier,14,35,4
Golden Retriever,22.5,65,2
Gordon Setter,25,62.5,2
Great Dane,32,140,1
Great Pyrenees,29.5,107.5,1
Great Swiss Mountain Dog,25.5,140,1
Greyhound,28.5,65,2
Harrier,20,50,3
Ibizan Hound,25.5,48.5,3
Irish Setter,26,65,2
Irish Terrier,18.5,26,3
Irish Water Spaniel,16.5,55,3
Irish Wolfhound,31.5,120,1
Italian Greyhound,13.5,8,5
Japanese Chin,9.5,7.5,5
Keeshond,18,42.5,3
Kerry Blue Terrier,19,37.5,3
Komondor,31,107.5,2
Kuvasz,29,95,1
Labrador Retriever,22.5,67.5,2
Lakeland Terrier,13.5,16,4
Maltese,9,5,5
Manchester Terrier (Standard),15.5,17.5,4
Manchester Terrier (Toy),11,7,5
Mastiff,28.5,182.5,1
Neopolitan Mastiff,27,125,1
Newfoundland,27,125,1
Norwegian Elkhound,19.5,50,3
Nova Scotia Duck Tolling Retriever,19,42.5,3
Old English Sheepdog (Bobtail),22,62.5,2
Otter Hound,25,87.5,1
Papillon,9.5,7.5,5
Petit Basset Griffon Vendeen,14,35,3
Pharaoh Hound,23,50,3
Plott Hound,22,50,3
Pointer,22.5,55,3
Polish Lowland Sheepdog,18,32.5,3
Pomeranian,12,5,5
Poodle Miniature,12.5,20,4
Poodle Standard,20,45,2
Poodle Toy,10,10,5
Portuguese Water Dog,21.5,51,3
Pug,10.5,18,4
Puli,16.5,31,4
Redbone Coonhound,24,60,3
Rhodesian Ridgeback,25.5,77.5,2
Rottweiler,24.5,100,1
Saint Bernard,26.5,150,1
Saluki,25.5,52.5,3
Samoyed,21.5,57.5,3
Schipperke,11.5,15,4
Scottish Deerhound,30,92.5,2
Scottish Terrier,11,20,4
Sealyham Terrier,12,19,4
Shetland Sheepdog (Sheltie),14.5,17,4
Shiba Inu,14.5,22.5,4
Shih Tzu,9.5,12.5,4
Siberian Husky,21.5,50,3
Silky Terrier,9.5,9.5,4
Skye Terrier,10,25,4
Soft-Coated Wheaten Terrier,19,40,3
Spinone Italiano,25.5,72.5,2
Staffordshire Bull Terrier,15,26,3
Standard Schnauzer,18,33,3
Sussex Spaniel,15.5,42.5,3
Tibetan Mastiff,25,155,2
Tibetan Spaniel,10,12,4
Tibetan Terrier,15.5,25,4
Toy Fox Terrier,10,5.5,5
Vizsla,23.5,57,3
Weimaraner,26,77.5,2
Welsh Springer Spaniel,17.5,40,3
Welsh Terrier,15,20.5,4
West Highland White Terrier,11,14,4
Whippet,20,28.5,4
Wirehaired Pointing Griffon,22,52.5,3
Yorkshire Terrier,8,5,5
